genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ttc39c,103.57223336556552,-0.42524038593386543,0.13999011357291902,1.4959908293381412e-5,8.955577025770253e-4
mt-Co1,17481.565476015625,0.0838630633894785,0.022673795789345405,1.6178967354178328e-5,9.6400940529499e-4
Fah,49.14151418892683,0.3003508394453639,0.10001388048789853,1.659438764432582e-5,9.784439471186835e-4
Got2,336.3159134368846,-0.1346410620181562,0.04677964506853147,1.6651426282233105e-5,9.784439471186835e-4
Dbnl,582.0253164935996,-0.10130086884015597,0.030246809966854516,1.6556709943007335e-5,9.784439471186835e-4
Tesc,386.43041210451145,0.1817965715369996,0.06561072779622071,1.7405036539778985e-5,0.0010133863968891407
Vamp5,237.329158598949,-0.22695564508934285,0.07916729844774574,1.7392364110058563e-5,0.0010133863968891407
Cd2,3465.582788713806,-0.09975204482609627,0.029837148338163626,1.8814252209761678e-5,0.0010855227598491907
Cyld,454.7447333592022,-0.1134930691409397,0.03673628047432099,1.878372175582302e-5,0.0010855227598491907
Cybb,47.710221312869834,-0.4351564705183567,0.14900630875801316,1.8951419878323772e-5,0.0010885115084166956
Lpar6,97.05766718310403,-0.2623340529606931,0.0903489973362141,1.9104492358701947e-5,0.0010923828792188724
Armc2,18.370665446715886,-0.7071207469266454,0.28274822179624115,1.927005790373004e-5,0.00109693084076099
Sh2d1a,1108.1354195893907,-0.1461027770954094,0.05296150834281245,2.029729999439698e-5,0.001150270543238026
Agpat5,152.0453521194065,0.2056344278195881,0.07464213103804872,2.108455683223919e-5,0.0011895981600348758
Ehd3,59.9552144613068,0.28268708582383484,0.09839052211055745,2.2023530486175982e-5,0.0012371014855913213
Wipf1,622.4845789197411,-0.11123766661302248,0.0364139852897619,2.3963109426165287e-5,0.0013401474047940068
Gng2,297.9421809145066,-0.12664585458244007,0.04477639423049879,2.5442303628533213e-5,0.0014166585745302488
Sub1,1351.1997903836063,-0.09034374330903183,0.02626812621429172,2.6240327444888396e-5,0.0014547409358685738
Gsap,114.9621528076388,-0.20478450445619614,0.07658568953691734,2.6970673871023856e-5,0.0014887578464477282
Fam3b,6.357324257960794,-0.8940337450001861,0.4437368979782277,2.7785994424363833e-5,0.0015271517883838931
Apol10b,14.73480927355699,-0.5664584463959422,0.2245860088726198,2.8701447073729063e-5,0.0015706959297730441
